article_id‰full_name‰gender
3c71ce026f5d6f7ac30fbbb2fc43fbda‰Stanley G Payne‰male
3c71ce026f5d6f7ac30fbbb2fc43fbda‰Enrique Moradiellos‰male
3c71ce026f5d6f7ac30fbbb2fc43fbda‰Ricardo García Cárcel‰male
5d6c37785ba9c62bb113beeb51aa28a1‰JORGE BUSTOSSigo‰male
961fb6d91de8e8e481c596ccb036982d‰Giuseppe Sala‰male
a7d9fa9603a7cede52e2e57393da03de‰Ángel Luis Ruiz Cano‰male
a7d9fa9603a7cede52e2e57393da03de‰LOCFernando Encinar‰unknown
be229bd678e875ac48f7adb7f9f7ab97‰Holmes Place‰unknown
be229bd678e875ac48f7adb7f9f7ab97‰Raquel Moreno‰female
be229bd678e875ac48f7adb7f9f7ab97‰Antonio Murillo‰male
be229bd678e875ac48f7adb7f9f7ab97‰Anna Santidrián‰female
b27ccb0b020417bb0bfb2835e7019583‰Chad Gutstein‰male
6524b57670b5f9e225d3d75459135d5f‰Paul Hertz‰male
6524b57670b5f9e225d3d75459135d5f‰Ellen Stofan‰female
749d1c0c6a3ee6f5eab4d79a19c36c53‰García Lorca‰unknown
749d1c0c6a3ee6f5eab4d79a19c36c53‰Luis Cernuda‰male
749d1c0c6a3ee6f5eab4d79a19c36c53‰Jaime Gil de Biedma‰male
8d8b805c3bbd6ac5b3b572de0313779e‰Ángeles Alvariño‰unknown
900c900c587d5018e7f40cf914118672‰Adeyemi Ajao‰unknown
900c900c587d5018e7f40cf914118672‰Carlos Blanco‰male
900c900c587d5018e7f40cf914118672‰Antonio Rubio‰male
900c900c587d5018e7f40cf914118672‰José Antonio del Moral‰male
900c900c587d5018e7f40cf914118672‰business angel‰unknown
c2bf87c79289f927d012241f6887bbdf‰Claudia J Alexander‰female
b138b6770788ecdcfae91c8e9d9c638b‰Francisco Etxeberria‰male
b138b6770788ecdcfae91c8e9d9c638b‰Conrado Rodríguez‰male
56ef10d888d1543bcfb8cdb8b8dedecf‰Big Van‰unknown
4e7cda0de9b7f9d218f78dc2961306ea‰Cecil Pinset‰male
fc1e40ea27463c921814ef197f5cc645‰Luis Alegre‰male
acb291b48e609621e41e9ea2cd49df1f‰Abu Ahmed‰male
7db28c3648407244cfda8f7ae8486942‰Herbert Marshall McLuhan‰male
97270d1f7a65f1d2b66132f929958b72‰Pierre de Meuron‰male
ab02c7baa4214d4ba36ad25eb659b7db‰Luis Romero‰male
a41e8c84896a40829e853da91c416e64‰Jonathan Dirlam‰male
a41e8c84896a40829e853da91c416e64‰Hui Zheng‰andy
81c1d816f56ec6fe90370f2c8744d22c‰Alberto Soler‰male
d9652ec5f39055e21ce3e029f4f7326d‰Adolfo Sotelo‰male
255c3e8d4a2d3f9fe927ea3d9259d7cd‰Jose María Ezquiaga‰male
255c3e8d4a2d3f9fe927ea3d9259d7cd‰Feniosky Peña-Mora‰unknown
6326e09dfc9d0c7389e90b30037db960‰Juan A Herrero Brasas‰male
7363e9641d2cf9164065bb891faf02d6‰Michela Muñoz Fernández‰female
a7ea83ea877293eb55557ea3ae9373dd‰Norman Foster‰male
a7ea83ea877293eb55557ea3ae9373dd‰Rafael Moneo‰male
065f1428db9df4c73ea290d56d6c4e8c‰Jorge de Esteban‰male
c33247188c567b59027813a54bc72fae‰Martin Gibala‰male
3c92f46e4c882df65c8c6aa97d64537f‰Lisa Pathfinder‰female
3c92f46e4c882df65c8c6aa97d64537f‰Martin Hewitson‰male
3c92f46e4c882df65c8c6aa97d64537f‰Paul McNamara‰male
3c92f46e4c882df65c8c6aa97d64537f‰Stefano Vitale‰male
4d8900d75a09cede0833b0ef3108fc45‰Asunción Barberá‰unknown
